tourId,tourTitle,stopId,stopTitle,arPriority,arType,assetStatus,iosAsset,androidAsset,webAsset,scale,rotationYDeg,anchorStyle,fallbackType,coordQuality,triggerRadiusM,assetNeeded,estimatedEffort,notes,imageProvider,falModel,falPrompt,falImageSize,generatedImagePath,stabilityEndpoint,stabilityPrompt,stabilityAspectRatio,stabilityOutputFormat
black-american-sports,Black American Sports,black-american-sports-the-palestra,The Palestra,11,portal_reconstruction,planned,/models/the-palestra.usdz,/models/the-palestra.glb,/models/the-palestra.glb,1,180,front_of_user,card,approximate,40,historic game scene; score overlay; court reconstruction,high,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality portal reconstruction experience at The Palestra in Philadelphia. Show historic game scene; score overlay; court reconstruction. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/black-american-sports-the-palestra.jpeg,core,Concept art for a mobile augmented reality portal reconstruction experience at The Palestra in Philadelphia. Show historic game scene; score overlay; court reconstruction. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
black-american-sports,Black American Sports,black-american-sports-joe-frazier-s-gym-cloverlay,Joe Frazier's Gym (Cloverlay),12,historical_figure_presence,planned,/models/joe-frazier-s-gym-cloverlay.usdz,/models/joe-frazier-s-gym-cloverlay.glb,/models/joe-frazier-s-gym-cloverlay.glb,1,180,front_of_user,card,approximate,40,training scene; gloves and belt object set; archival card,high,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality historical figure presence experience at Joe Frazier's Gym (Cloverlay) in Philadelphia. Show training scene; gloves and belt object set; archival card. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/black-american-sports-joe-frazier-s-gym-cloverlay.jpeg,core,Concept art for a mobile augmented reality historical figure presence experience at Joe Frazier's Gym (Cloverlay) in Philadelphia. Show training scene; gloves and belt object set; archival card. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
black-american-sports,Black American Sports,black-american-sports-overbrook-high-school,Overbrook High School,13,floating_story_card,planned,/models/overbrook-high-school.usdz,/models/overbrook-high-school.glb,/models/overbrook-high-school.glb,1,180,front_of_user,card,approximate,40,Wilt and Kobe legacy cards; stats overlays,low,,fal,fal-ai/flux/dev,Concept art for a mobile augmented reality floating story card experience at Overbrook High School in Philadelphia. Show Wilt and Kobe legacy cards; stats overlays. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/black-american-sports-overbrook-high-school.jpeg,core,Concept art for a mobile augmented reality floating story card experience at Overbrook High School in Philadelphia. Show Wilt and Kobe legacy cards; stats overlays. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
black-inventors-tour,Black Inventors Tour,black-inventors-tour-lewis-latimer-light-bulb-exhibit,Lewis Latimer Light Bulb Exhibit,14,animated_diagram,planned,/models/lewis-latimer-light-bulb-exhibit.usdz,/models/lewis-latimer-light-bulb-exhibit.glb,/models/lewis-latimer-light-bulb-exhibit.glb,1,180,front_of_user,card,approximate,40,filament model; patent diagram animation; inventor card,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality animated diagram experience at Lewis Latimer Light Bulb Exhibit in Philadelphia. Show filament model; patent diagram animation; inventor card. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/black-inventors-tour-lewis-latimer-light-bulb-exhibit.jpeg,core,Concept art for a mobile augmented reality animated diagram experience at Lewis Latimer Light Bulb Exhibit in Philadelphia. Show filament model; patent diagram animation; inventor card. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
black-inventors-tour,Black Inventors Tour,black-inventors-tour-garrett-morgan-traffic-signal,Garrett Morgan Traffic Signal,15,animated_diagram,planned,/models/garrett-morgan-traffic-signal.usdz,/models/garrett-morgan-traffic-signal.glb,/models/garrett-morgan-traffic-signal.glb,1,180,front_of_user,card,approximate,40,signal mechanism; intersection overlay; patent timeline,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality animated diagram experience at Garrett Morgan Traffic Signal in Philadelphia. Show signal mechanism; intersection overlay; patent timeline. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/black-inventors-tour-garrett-morgan-traffic-signal.jpeg,core,Concept art for a mobile augmented reality animated diagram experience at Garrett Morgan Traffic Signal in Philadelphia. Show signal mechanism; intersection overlay; patent timeline. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
black-inventors-tour,Black Inventors Tour,black-inventors-tour-dr-charles-drew-blood-bank,Dr. Charles Drew Blood Bank,16,animated_diagram,planned,/models/dr-charles-drew-blood-bank.usdz,/models/dr-charles-drew-blood-bank.glb,/models/dr-charles-drew-blood-bank.glb,1,180,front_of_user,card,approximate,40,blood plasma storage explainer; medical card set,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality animated diagram experience at Dr. Charles Drew Blood Bank in Philadelphia. Show blood plasma storage explainer; medical card set. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/black-inventors-tour-dr-charles-drew-blood-bank.jpeg,core,Concept art for a mobile augmented reality animated diagram experience at Dr. Charles Drew Blood Bank in Philadelphia. Show blood plasma storage explainer; medical card set. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
library-story-hop-tour,Library Story Hop Tour,library-story-hop-tour-rosenbach-museum-and-library,Rosenbach Museum & Library,17,floating_story_card,planned,/models/rosenbach-museum-and-library.usdz,/models/rosenbach-museum-and-library.glb,/models/rosenbach-museum-and-library.glb,1,180,front_of_user,card,verified,40,manuscript cards; toy and book reveal; collection overlay,low,,fal,fal-ai/flux/dev,Concept art for a mobile augmented reality floating story card experience at Rosenbach Museum & Library in Philadelphia. Show manuscript cards; toy and book reveal; collection overlay. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/library-story-hop-tour-rosenbach-museum-and-library.jpeg,core,Concept art for a mobile augmented reality floating story card experience at Rosenbach Museum & Library in Philadelphia. Show manuscript cards; toy and book reveal; collection overlay. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
library-story-hop-tour,Library Story Hop Tour,library-story-hop-tour-free-library-central-parkway,Free Library - Central Parkway,18,floating_story_card,planned,/models/free-library-central-parkway.usdz,/models/free-library-central-parkway.glb,/models/free-library-central-parkway.glb,1,180,front_of_user,card,verified,40,literary quote cards; raven and book overlays; facade card,low,,fal,fal-ai/flux/dev,Concept art for a mobile augmented reality floating story card experience at Free Library - Central Parkway in Philadelphia. Show literary quote cards; raven and book overlays; facade card. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/library-story-hop-tour-free-library-central-parkway.jpeg,core,Concept art for a mobile augmented reality floating story card experience at Free Library - Central Parkway in Philadelphia. Show literary quote cards; raven and book overlays; facade card. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
library-story-hop-tour,Library Story Hop Tour,library-story-hop-tour-charles-l-blockson-collection,Charles L. Blockson Collection,19,object_on_plinth,planned,/models/charles-l-blockson-collection.usdz,/models/charles-l-blockson-collection.glb,/models/charles-l-blockson-collection.glb,1,180,front_of_user,card,verified,40,hymnbook or archival object model; collection card,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality object on plinth experience at Charles L. Blockson Collection in Philadelphia. Show hymnbook or archival object model; collection card. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/library-story-hop-tour-charles-l-blockson-collection.jpeg,core,Concept art for a mobile augmented reality object on plinth experience at Charles L. Blockson Collection in Philadelphia. Show hymnbook or archival object model; collection card. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
old-york-road-corridor,Old York Road Corridor,old-york-road-corridor-ogontz-theatre-site,Ogontz Theatre Site,20,portal_reconstruction,planned,/models/ogontz-theatre-site.usdz,/models/ogontz-theatre-site.glb,/models/ogontz-theatre-site.glb,1,180,front_of_user,card,verified,40,theatre facade reconstruction; performance poster overlays,high,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality portal reconstruction experience at Ogontz Theatre Site in Philadelphia. Show theatre facade reconstruction; performance poster overlays. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/old-york-road-corridor-ogontz-theatre-site.jpeg,core,Concept art for a mobile augmented reality portal reconstruction experience at Ogontz Theatre Site in Philadelphia. Show theatre facade reconstruction; performance poster overlays. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
old-york-road-corridor,Old York Road Corridor,old-york-road-corridor-cecil-b-moore-law-office,Cecil B. Moore Law Office,21,historical_figure_presence,planned,/models/cecil-b-moore-law-office.usdz,/models/cecil-b-moore-law-office.glb,/models/cecil-b-moore-law-office.glb,1,180,front_of_user,card,verified,40,speech and activism overlay; office card; archival layer,medium,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality historical figure presence experience at Cecil B. Moore Law Office in Philadelphia. Show speech and activism overlay; office card; archival layer. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/old-york-road-corridor-cecil-b-moore-law-office.jpeg,core,Concept art for a mobile augmented reality historical figure presence experience at Cecil B. Moore Law Office in Philadelphia. Show speech and activism overlay; office card; archival layer. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
old-york-road-corridor,Old York Road Corridor,old-york-road-corridor-happy-hollow-rec-center,Happy Hollow Rec Center,22,before_after_overlay,planned,/models/happy-hollow-rec-center.usdz,/models/happy-hollow-rec-center.glb,/models/happy-hollow-rec-center.glb,1,180,front_of_user,card,verified,40,riot and community timeline; neighborhood memory overlay,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality before after overlay experience at Happy Hollow Rec Center in Philadelphia. Show riot and community timeline; neighborhood memory overlay. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/old-york-road-corridor-happy-hollow-rec-center.jpeg,core,Concept art for a mobile augmented reality before after overlay experience at Happy Hollow Rec Center in Philadelphia. Show riot and community timeline; neighborhood memory overlay. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
old-york-road-corridor,Old York Road Corridor,old-york-road-corridor-old-york-road-and-north-broad,Old York Road & North Broad,26,route_ghost,planned,/models/old-york-road-and-north-broad.usdz,/models/old-york-road-and-north-broad.glb,/models/old-york-road-and-north-broad.glb,1,180,front_of_user,card,verified,40,corridor route arrows; milestone reveal; wayfinding card,low,,fal,fal-ai/flux/dev,Concept art for a mobile augmented reality route ghost experience at Old York Road & North Broad in Philadelphia. Show corridor route arrows; milestone reveal; wayfinding card. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/old-york-road-corridor-old-york-road-and-north-broad.jpeg,core,Concept art for a mobile augmented reality route ghost experience at Old York Road & North Broad in Philadelphia. Show corridor route arrows; milestone reveal; wayfinding card. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
eastern-star-weekend,Eastern Star Weekend,eastern-star-weekend-sweetbriar-mansion,Sweetbriar Mansion,27,object_on_plinth,planned,/models/sweetbriar-mansion.usdz,/models/sweetbriar-mansion.glb,/models/sweetbriar-mansion.glb,1,180,front_of_user,card,verified,40,ceremonial symbol set; closing ritual object; chapter story card,medium,,stability,fal-ai/flux/dev,Concept art for a mobile augmented reality object on plinth experience at Sweetbriar Mansion in Philadelphia. Show ceremonial symbol set; closing ritual object; chapter story card. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/eastern-star-weekend-sweetbriar-mansion.jpeg,core,Concept art for a mobile augmented reality object on plinth experience at Sweetbriar Mansion in Philadelphia. Show ceremonial symbol set; closing ritual object; chapter story card. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
job-s-daughters,Job's Daughters,job-s-daughters-original-bethel-no-1-hall,Original Bethel No. 1 Hall,28,historical_figure_presence,planned,/models/original-bethel-no-1-hall.usdz,/models/original-bethel-no-1-hall.glb,/models/original-bethel-no-1-hall.glb,1,180,front_of_user,card,verified,40,legacy hall overlay; youth lineage cards; memory scene,medium,,replicate,fal-ai/flux/dev,Concept art for a mobile augmented reality historical figure presence experience at Original Bethel No. 1 Hall in Philadelphia. Show legacy hall overlay; youth lineage cards; memory scene. Historically grounded. Strong composition for an AR tour app.,landscape_4_3,assets/generated/ar-references/job-s-daughters-original-bethel-no-1-hall.jpeg,core,Concept art for a mobile augmented reality historical figure presence experience at Original Bethel No. 1 Hall in Philadelphia. Show legacy hall overlay; youth lineage cards; memory scene. Historically grounded. Rich visual detail. Strong composition for an AR tour app.,3:2,png
